,form,var_name,description,var_type,source,type,subtype
26,"5
Methods for  
scoring case",NPTDPAN,Method for scoring case — TDP-43 antibody,Original NP question,v10,method,method
27,"5
Methods for  
scoring case",NPTDPANX,"Method for scoring case — TDP-43 antibody  
other specify",Original NP question,v10,method,method
28,"5
Methods for  
scoring case",NPHISMB,Histochemical stain used — modifed Bielschosky,Original NP question,v10,method,method
29,"5
Methods for  
scoring case",NPHISG,Histochemical stain used — Gallyas,Original NP question,v10,method,method
30,"5
Methods for  
scoring case",NPHISSS,Histochemical stain used — other silver stain,Original NP question,v10,method,method
31,"5
Methods for  
scoring case",NPHIST,Histochemical stain used — thioflavin,Original NP question,v10,method,method
32,"5
Methods for  
scoring case",NPHISO,Histochemical stain used — other,Original NP question,v10,method,method
33,"5
Methods for  
scoring case",NPHISOX,Histochemical stain used — other specify,Original NP question,v10,method,method
34,"6
Alzheimer’s disease",NPTHAL,Thal phase for amyloid plaques (A score),Original NP question,v10,y,y
35,"6
Alzheimer’s disease",NACCBRAA,"Braak stage for neurofibrillary degeneration  
(B score)",Derived variable,v1–10,y,y
36,"6
Alzheimer’s disease",NACCNEUR,"Density of neocortical neuritic plaques (CERAD 
score) (C score)",Derived variable,v1–10,y,y
37,"6
Alzheimer’s disease",NPADNC,"NIA-AA Alzheimer’s disease neuropathologic 
change (ADNC) (ABC score)",Original NP question,v10,y,y
38,"6
Alzheimer’s disease",NACCDIFF,"Density of diffuse plaques (CERAD semi-
quantitative score)",Derived variable,v1–10,y,y
39,"7
Cerebrovascular 
disease",NACCVASC,"Ischemic, hemorrhagic, or vascular pathology 
present",Derived variable,v1–10,y,y
40,"7
Cerebrovascular 
disease",NACCAMY,Cerebral amyloid angiopathy,Derived variable,v1–10,y,y
41,"7
Cerebrovascular 
disease",NPLINF,Large arterial infarcts present,Original NP question,v1–9,y,y
42,"7
Cerebrovascular 
disease",NPLAC,"One or more lacunes (small artery infracts and/or 
hemorrhages) present",Original NP question,v1–9,y,y
43,"7
Cerebrovascular 
disease",NPINF,Old infarcts observed grossly (including lacunes),Original NP question,v10,y,y
44,"7
Cerebrovascular 
disease",NPINF1A,"Old infarcts observed grossly — number in  
cerebral cortex",Original NP question,v10,y,y
45,"7
Cerebrovascular 
disease",NPINF1B,"Size of largest old infarct observed in cerebral 
cortex (cm)",Original NP question,v10,y,y
46,"7
Cerebrovascular 
disease",NPINF1D,"Size of second-largest old infarct observed in 
cerebral cortex (cm)",Original NP question,v10,y,y
47,"7
Cerebrovascular 
disease",NPINF1F,"Size of third-largest old infact observed in  
cerebral cortex (cm)",Original NP question,v10,y,y
48,"7
Cerebrovascular 
disease",NPINF2A,"Old infarcts observed grossly — number in 
subcortical/periventricular white matter",Original NP question,v10,y,y
49,"7
Cerebrovascular 
disease",NPINF2B,"Size of largest old infarct observed in subcortical 
cerebral/periventricular white matter (cm)",Original NP question,v10,y,y
50,"7
Cerebrovascular 
disease",NPINF2D,"Size of second-largest old infarct observed in sub-
cortical cerebral/periventricular white matter (cm)",Original NP question,v10,y,y
51,"7
Cerebrovascular 
disease",NPINF2F,"Size of third-largest old infarct observed in sub-
cortical cerebral/periventricular white matter (cm)",Original NP question,v10,y,y
52,"7
Cerebrovascular 
disease",NPINF3A,"Old infarcts observed grossly — number in deep 
cerebral gray matter or internal capsule",Original NP question,v10,y,y
53,"7
Cerebrovascular 
disease",NPINF3B,"Size of largest old infarct observed in deep 
cerebral gray matter or internal capsule",Original NP question,v10,y,y
54,"7
Cerebrovascular 
disease",NPINF3D,"Size of second-largest old infarct observed in deep 
cerebral gray matter or internal capsule (cm)",Original NP question,v10,y,y
55,"7
Cerebrovascular 
disease",NPINF3F,"Size of third-largest old infarct observed in deep 
cerebral gray matter or internal capsule (cm)",Original NP question,v10,y,y
56,"7
Cerebrovascular 
disease",NPINF4A,"Old infarcts observed grossly — number in 
brainstem or cerebellum",Original NP question,v10,y,y
57,"7
Cerebrovascular 
disease",NPINF4B,"Size of largest old infarct observed in brainstem  
or cerebellum (cm)",Original NP question,v10,y,y
58,"7
Cerebrovascular 
disease",NPINF4D,"Size of second largest old infarct observed in 
brainstem or cerebellum (cm)",Original NP question,v10,y,y
59,"7
Cerebrovascular 
disease",NPINF4F,"Size of third largest old infarct observed in 
brainstem or cerebellum (cm)",Original NP question,v10,y,y
60,"7
Cerebrovascular 
disease",NACCINF,Infarcts and lacunes,Derived variable,v1–10,y,y
61,"7
Cerebrovascular 
disease",NPHEM,Single or multiple hemorrhages present,Original NP question,v1–9,y,y
62,"7
Cerebrovascular 
disease",NPHEMO,"Single or multiple old hemorrhages observed 
grossly",Original NP question,v10,y,y
63,"7
Cerebrovascular 
disease",NPHEMO1,"Single or multiple old hemorrhages observed 
grossly — subdural or epidural hemorrhage",Original NP question,v10,y,y
64,"7
Cerebrovascular 
disease",NPHEMO2,"Single or multiple old hemorrhages observed 
grossly — primary parenchymal hemorrhage",Original NP question,v10,y,y
65,"7
Cerebrovascular 
disease",NPHEMO3,"Single or multiple old hemorrhages observed 
grossly — secondary parenchymal hemorrhage",Original NP question,v10,y,y
66,"7
Cerebrovascular 
disease",NPMICRO,Multiple microinfarcts present,Original NP question,v1–9,y,y
67,"7
Cerebrovascular 
disease",NPOLD,"Old microinfarcts, not observed grossly",Original NP question,v10,y,y
68,"7
Cerebrovascular 
disease",NPOLD1,"Number of old microinfarcts, not observed grossly 
— cerebral cortex",Original NP question,v10,y,y
69,"7
Cerebrovascular 
disease",NPOLD2,"Number of old microinfarcts, not observed grossly 
— subcortical or periventricular white matter",Original NP question,v10,y,y
70,"7
Cerebrovascular 
disease",NPOLD3,"Number of old microinfarcts, not observed grossly 
— subcortical gray matter",Original NP question,v10,y,y
71,"7
Cerebrovascular 
disease",NPOLD4,"Number of old microinfarcts, not observed grossly 
— brainstem and cerebellum",Original NP question,v10,y,y
72,"7
Cerebrovascular 
disease",NACCMICR,Microinfarcts,Derived variable,v1–10,y,y
73,"7
Cerebrovascular 
disease",NPOLDD,Old cerebral microbleeds,Original NP question,v10,y,y
74,"7
Cerebrovascular 
disease",NPOLDD1,Number of cerebral microbleeds — cerebral cortex,Original NP question,v10,y,y
75,"7
Cerebrovascular 
disease",NPOLDD2,"Number of cerebral microbleeds — subcortical  
and periventricular white matter",Original NP question,v10,y,y
76,"7
Cerebrovascular 
disease",NPOLDD3,"Number of cerebral microbleeds — subcortical 
gray matter",Original NP question,v10,y,y
77,"7
Cerebrovascular 
disease",NPOLDD4,"Number of cerebral microbleeds — brainstem  
and cerebellum",Original NP question,v10,y,y
78,"7
Cerebrovascular 
disease",NACCHEM,Hemorrhages and microbleeds,Derived variable,v1–10,y,y
79,"7
Cerebrovascular 
disease",NACCARTE,Arteriolosclerosis,Derived variable,v1–10,y,y
80,"7
Cerebrovascular 
disease",NPWMR,White matter rarefaction,Original NP question,v10,y,y
81,"7
Cerebrovascular 
disease",NPPATH,"Other pathological changes related to ischemic  
or vascular disease not previously specfied",Original NP question,v10,y,y
82,"7
Cerebrovascular 
disease",NACCNEC,Laminar necrosis,Derived variable,v1–10,y,y
83,"7
Cerebrovascular 
disease",NPPATH2,Acute neuronal necrosis,Original NP question,v10,y,y
84,"7
Cerebrovascular 
disease",NPPATH3,Acute/subacute gross infarcts,Original NP question,v10,y,y
85,"7
Cerebrovascular 
disease",NPPATH4,Acute/subacute microinfarcts,Original NP question,v10,y,y
86,"7
Cerebrovascular 
disease",NPPATH5,Acute/subacute gross hemorrhage,Original NP question,v10,y,y
87,"7
Cerebrovascular 
disease",NPPATH6,Acute/subacute microhemorrhage,Original NP question,v10,y,y
88,"7
Cerebrovascular 
disease",NPPATH7,Vascular malformation of any type,Original NP question,v10,y,y
89,"7
Cerebrovascular 
disease",NPPATH8,Aneurysm of any type,Original NP question,v10,y,y
90,"7
Cerebrovascular 
disease",NPPATH9,Vasculitis of any type,Original NP question,v10,y,y
91,"7
Cerebrovascular 
disease",NPPATH10,CADASIL,Original NP question,v10,y,y
92,"7
Cerebrovascular 
disease",NPPATH11,Mineralization of blood vessels,Original NP question,v10,y,y
94,"7
Cerebrovascular 
disease",NPPATHOX,Other ischemic or vascular pathology specify,Original NP question,v10,y,y
95,"7
Cerebrovascular 
disease",NPART,"Subcortical arteriosclerotic leukoencephalopathy 
present",Original NP question,v1–9,y,y
96,"7
Cerebrovascular 
disease",NPOANG,Angiopathy other than amyloid angiopathy present,Original NP question,v1–9,y,y
97,"8
Lewy body and 
substantia nigra 
pathology",NACCLEWY,Lewy body pathology,Derived variable,v1–10,y,y
98,"8
Lewy body and 
substantia nigra 
pathology",NPLBOD,Evidence of Lewy body pathology,Original NP question,v10,y,y
99,"8
Lewy body and 
substantia nigra 
pathology",NPNLOSS,Neuron loss in the substantia nigra,Original NP question,v10,y,y
100,"9
Hippocampal 
sclerosis",NPHIPSCL,Hippocampal sclerosis (CA1 and/or subiculum),Original NP question,v10,y,y
101,"9
Hippocampal 
sclerosis",NPSCL,Medial temporal lobe sclerosis present,Original NP question,v1–9,y,y
102,"10
Frontotemporal lobar 
degeneration, other 
tauopathies, and 
TDP-43 pathology",NPFTDTAU,"FTLD with tau pathology (FTLD-tau) or other 
tauopathy",Original NP question,v10,y,y
103,"10
Frontotemporal lobar 
degeneration, other 
tauopathies, and 
TDP-43 pathology",NACCPICK,FTLD-tau subtype — Pick’s (PiD),Derived variable,v1–10,y,y
104,"10
Frontotemporal lobar 
degeneration, other 
tauopathies, and 
TDP-43 pathology",NPFTDT2,"FTLD-tau subtype — other 3R tauopathy  
(includes MAPT mutation tauopathy)",Original NP question,v10,y,y
105,"10
Frontotemporal lobar 
degeneration, other 
tauopathies, and 
TDP-43 pathology",NACCCBD,"FTLD-tau subtype — corticobasal degeneration 
(CBD)",Derived variable,v1–10,y,y
106,"10
Frontotemporal lobar 
degeneration, other 
tauopathies, and 
TDP-43 pathology",NACCPROG,"FTLD-tau subtype — progressive supranuclear 
palsy (PSP)",Derived variable,v1–10,y,y
107,"10
Frontotemporal lobar 
degeneration, other 
tauopathies, and 
TDP-43 pathology",NPFTDT5,FTLD-tau subtype — argyrophilic grains,Original NP question,v10,y,y
108,"10
Frontotemporal lobar 
degeneration, other 
tauopathies, and 
TDP-43 pathology",NPFTDT6,"FTLD-tau subtype — other 4R tauopathy (includes 
sporadic multiple systems tauopathy, globular glial 
tauopathy, MAPT mutation tauopathy)",Original NP question,v10,y,y
109,"10
Frontotemporal lobar 
degeneration, other 
tauopathies, and 
TDP-43 pathology",NPFTDT7,"FTLD-tau subtype — chronic traumatic 
encephalopathy",Original NP question,v10,y,y
110,"10
Frontotemporal lobar 
degeneration, other 
tauopathies, and 
TDP-43 pathology",NPFTDT8,"FTLD-tau subtype — amyotrophic lateral sclerosis 
(ALS)/parkinsonism-dementia",Original NP question,v10,y,y
111,"10
Frontotemporal lobar 
degeneration, other 
tauopathies, and 
TDP-43 pathology",NPFTDT9,FTLD-tau subtype — tangle dominant disease,Original NP question,v10,y,y
112,"10
Frontotemporal lobar 
degeneration, other 
tauopathies, and 
TDP-43 pathology",NPFTDT10,FTLD-tau subtype — other 3R + 4R tauopathy,Original NP question,v10,y,y
113,"10
Frontotemporal lobar 
degeneration, other 
tauopathies, and 
TDP-43 pathology",NPFRONT,"Frontemporal dementia and parkinsonism with  
tau-positive or argyrophilic inclusions",Original NP question,v1–9,y,y
114,"10
Frontotemporal lobar 
degeneration, other 
tauopathies, and 
TDP-43 pathology",NPTAU,"Tauopathy, other (e.g., tangle-only dementia and 
argyrophilic grain dementia)",Original NP question,v1–9,y,y
115,"10
Frontotemporal lobar 
degeneration, other 
tauopathies, and 
TDP-43 pathology",NPFTD,"FTD with ubiquitin-positive 9 (tau-negative) 
inclusions",Original NP question,v1–9,y,y
116,"10
Frontotemporal lobar 
degeneration, other 
tauopathies, and 
TDP-43 pathology",NPFTDTDP,FTLD with TDP-43 pathology (FTLD-TDP),Original NP question,v10,y,y
117,"10
Frontotemporal lobar 
degeneration, other 
tauopathies, and 
TDP-43 pathology",NPALSMND,ALS/motor neuron disease (MND),Original NP question,v10,y,y
118,"10
Frontotemporal lobar 
degeneration, other 
tauopathies, and 
TDP-43 pathology",NPOFTD,Other FTLD,Original NP question,v10,y,y
119,"10
Frontotemporal lobar 
degeneration, other 
tauopathies, and 
TDP-43 pathology",NPOFTD1,Other FTLD subtype — atypical FTLD-U,Original NP question,v10,y,y
120,"10
Frontotemporal lobar 
degeneration, other 
tauopathies, and 
TDP-43 pathology",NPOFTD2,"Other FTLD subtype — NIFID (neuronal 
intermediate filament inclusions disease)",Original NP question,v10,y,y
121,"10
Frontotemporal lobar 
degeneration, other 
tauopathies, and 
TDP-43 pathology",NPOFTD3,"Other FTLD subtype — BIBD (basophilic inclusion 
body disease)",Original NP question,v10,y,y
122,"10
Frontotemporal lobar 
degeneration, other 
tauopathies, and 
TDP-43 pathology",NPOFTD4,"Other FTLD subtype — FTLD-UPS (ubiquitin-
proteasome system [ubiquitin or p62 positive, tau/
TDP-43/FUS negative inclusions])",Original NP question,v10,y,y
123,"10
Frontotemporal lobar 
degeneration, other 
tauopathies, and 
TDP-43 pathology",NPOFTD5,"Other FTLD subtype — FTLD-NOS (includes 
dementia lacking distinctive histology [DLDH] and 
FTLD with no inclusions [FTLD-NI] detected by 
tau, TDP-43, or ubiquitin/p62 IHC)",Original NP question,v10,y,y
124,"10
Frontotemporal lobar 
degeneration, other 
tauopathies, and 
TDP-43 pathology",NPFTDNO,FTD with no distinctive histopathology present,Original NP question,v1–9,y,y
125,"10
Frontotemporal lobar 
degeneration, other 
tauopathies, and 
TDP-43 pathology",NPFTDSPC,FTD not otherwise specified present,Original NP question,v1–9,y,y
126,"10
Frontotemporal lobar 
degeneration, other 
tauopathies, and 
TDP-43 pathology",NPTDPA,"Distribution of TDP-43 immunoreactive inclusions 
— spinal cord",Original NP question,v10,y,y
127,"10
Frontotemporal lobar 
degeneration, other 
tauopathies, and 
TDP-43 pathology",NPTDPB,"Distribution of TDP-43 immunoreactive inclusions 
— amygdala",Original NP question,v10,y,y
128,"10
Frontotemporal lobar 
degeneration, other 
tauopathies, and 
TDP-43 pathology",NPTDPC,"Distribution of TDP-43 immunoreactive inclusions 
— hippcampus",Original NP question,v10,y,y
129,"10
Frontotemporal lobar 
degeneration, other 
tauopathies, and 
TDP-43 pathology",NPTDPD,"Distribution of TDP-43 immunoreactive inclusions 
— entorhinal/inferior temporal cortex",Original NP question,v10,y,y
130,"10
Frontotemporal lobar 
degeneration, other 
tauopathies, and 
TDP-43 pathology",NPTDPE,"Distribution of TDP-43 immunoreactive inclusions 
— neocortex",Original NP question,v10,y,y
131,"11
Other pathologic 
diagnoses",NPPDXA,Pigment-spheroid degeneration/NBIA,Original NP question,v10,y,y
132,"11
Other pathologic 
diagnoses",NPPDXB,Multiple system atrophy,Original NP question,v10,y,y
133,"11
Other pathologic 
diagnoses",NACCPRIO,Prion disease,Derived variable,v1–10,y,y
134,"11
Other pathologic 
diagnoses",NPPDXD,"Trinucleotide disease (Huntington disease,  
SCA, other)",Original NP question,v10,y,y
135,"11
Other pathologic 
diagnoses",NPPDXE,Malformation of cortical development,Original NP question,v10,y,y
136,"11
Other pathologic 
diagnoses",NPPDXF,Metabolic/storage disorder of any type,Original NP question,v10,y,y
137,"11
Other pathologic 
diagnoses",NPPDXG,"WM disease, leukodystrophy",Original NP question,v10,y,y
138,"11
Other pathologic 
diagnoses",NPPDXH,"WM disease, multiple sclerosis or other 
demyelinating disease",Original NP question,v10,y,y
139,"11
Other pathologic 
diagnoses",NPPDXI,"Contusion/traumatic brain injury of any type, acute",Original NP question,v10,y,y
140,"11
Other pathologic 
diagnoses",NPPDXJ,"Contusion/traumatic brain injury of any type, 
chronic",Original NP question,v10,y,y
141,"11
Other pathologic 
diagnoses",NPPDXK,"Neoplasm, primary",Original NP question,v10,y,y
142,"11
Other pathologic 
diagnoses",NPPDXL,"Neoplasm, metastatic",Original NP question,v10,y,y
143,"11
Other pathologic 
diagnoses",NPPDXM,"Infectious process of any type (encephalitis, 
abscess, etc.)",Original NP question,v10,y,y
144,"11
Other pathologic 
diagnoses",NPPDXN,"Herniation, any site",Original NP question,v10,y,y
145,"11
Other pathologic 
diagnoses",NACCDOWN,Down syndrome,Derived variable,v1–10,x,genetics
146,"11
Other pathologic 
diagnoses",NPPDXP,AD-related genes,Original NP question,v10,x,genetics
147,"11
Other pathologic 
diagnoses",NPPDXQ,FTLD-related genes,Original NP question,v10,x,genetics
148,"11
Other pathologic 
diagnoses",NACCOTHP,Other pathologic diagnosis,Derived variable,v1–10,y,y
152,"12
Stored tissue and 
full autopsy findings",NACCBNKF,Banked frozen brain,Derived variable,"v8–10, MDS",method,method
153,"12
Stored tissue and 
full autopsy findings",NPBNKB,"Banked frozen wedge of cerebellum or other 
sample for future DNA prep",Original NP question,v10,method,method
154,"12
Stored tissue and 
full autopsy findings",NACCFORM,Formalin- or paraformaldehyde-fixed brain derived,Derived variable,"v8–10, MDS",method,method
155,"12
Stored tissue and 
full autopsy findings",NACCPARA,Paraffin-embedded blocks of brain regions,Derived variable,"v8–10, MDS",method,method
156,"12
Stored tissue and 
full autopsy findings",NACCCSFP,Banked postmortem CSF,Derived variable,"v8–10, MDS",method,method
157,"12
Stored tissue and 
full autopsy findings",NPBNKF,Banked postmortem blood or serum,Original NP question,v10,method,method
158,"12
Stored tissue and 
full autopsy findings",NPFAUT,Full autopsy performed,Original NP question,v10,method,method
159,"12
Stored tissue and 
full autopsy findings",NPFAUT1,"If full autopsy performed, first major finding",Original NP question,v10,method,method
160,"12
Stored tissue and 
full autopsy findings",NPFAUT2,"If full autopsy performed, second major finding",Original NP question,v10,method,method
161,"12
Stored tissue and 
full autopsy findings",NPFAUT3,"If full autopsy performed, third major finding",Original NP question,v10,method,method
162,"12
Stored tissue and 
full autopsy findings",NPFAUT4,"If full autopsy performed, fourth major finding",Original NP question,v10,method,method
163,"App. 
Glossary of other 
A
available NP data",NPNIT,NIA/Reagan Institute criteria,Original NP question,v1–9,method,method
164,"App. 
Glossary of other 
A
available NP data",NPCERAD,CERAD criteria,Original NP question,v1–9,method,method
165,"App. 
Glossary of other 
A
available NP data",NPADRDA,ADRDA/Khachaturian criteria,Original NP question,v1–9,method,method
166,"App. 
Glossary of other 
A
available NP data",NPOCRIT,Other criteria,Original NP question,v1–9,method,method
167,"App. 
Glossary of other 
A
available NP data",NPVOTH,Other vascular,Original NP question,v1–9,method,method
168,"App. 
Glossary of other 
A
available NP data",NPLEWYCS,DLB clinical syndrome due to DLB pathology,Original NP question,v9,x,diagnosis
169,"App. 
Glossary of other 
A
available NP data",NPGENE,Family history,Original NP question,v1–9,method,method
171,"App. 
Glossary of other 
A
available NP data",NPTAUHAP,Tau haplotype,Original NP question,v1–9,method,method
172,"App. 
Glossary of other 
A
available NP data",NPPRNP,PRNP codon 129,Original NP question,v1–9,method,method
173,"App. 
Glossary of other 
A
available NP data",NPCHROM,Genetic or chromosomal abnormalities,Original NP question,v1–9,method,method
174,"App. 
Glossary of other 
A
available NP data",NPPNORM,Normal brain — primary,Original NP question,v8–9,y,y
175,"App. 
Glossary of other 
A
available NP data",NPCNORM,Normal brain — contributing,Original NP question,v8–9,y,y
176,"App. 
Glossary of other 
A
available NP data",NPPADP,"AD pathology present but insufficient for AD 
diagnosis — primary",Original NP question,v8–9,y,y
177,"App. 
Glossary of other 
A
available NP data",NPCADP,"AD pathology present but insufficient for AD 
diagnosis — contributing",Original NP question,v8–9,y,y
178,"App. 
Glossary of other 
A
available NP data",NPPAD,Alzheimer’s disease — primary,Original NP question,v8–9,x,diagnosis
179,"App. 
Glossary of other 
A
available NP data",NPCAD,Alzheimer’s disease — contributing,Original NP question,v8–9,y,y
180,"App. 
Glossary of other 
A
available NP data",NPPLEWY,"Lewy body disease, with or without AD — primary",Original NP question,v8–9,y,y
181,"App. 
Glossary of other 
A
available NP data",NPCLEWY,"Lewy body disease, with or without AD — 
contributing",Original NP question,v8–9,y,y
182,"App. 
Glossary of other 
A
available NP data",NPPVASC,Vascular disease — primary,Original NP question,v8–9,y,y
183,"App. 
Glossary of other 
A
available NP data",NPCVASC,Vascular disease — contributing,Original NP question,v8–9,y,y
184,"App. 
Glossary of other 
A
available NP data",NPPFTLD,FTLD — primary,Original NP question,v8–9,y,y
185,"App. 
Glossary of other 
A
available NP data",NPCFTLD,FTLD — contributing,Original NP question,v8–9,y,y
186,"App. 
Glossary of other 
A
available NP data",NPPHIPP,Hippocampal sclerosis — primary,Original NP question,v8–9,y,y
187,"App. 
Glossary of other 
A
available NP data",NPCHIPP,Hippocampal sclerosis — contributing,Original NP question,v8–9,y,y
188,"App. 
Glossary of other 
A
available NP data",NPPPRION,Prion-associated disease — primary,Original NP question,v8–9,y,y
189,"App. 
Glossary of other 
A
available NP data",NPCPRION,Prion-associated disease — contributing,Original NP question,v8–9,y,y
190,"App. 
Glossary of other 
A
available NP data",NPPOTH1,Other primary pathologic diagnosis 1,Original NP question,v8–9,y,y
191,"App. 
Glossary of other 
A
available NP data",NPCOTH1,Other contributing pathologic diagnosis 1,Original NP question,v8–9,y,y
193,"App. 
Glossary of other 
A
available NP data",NPPOTH2,Other primary pathologic diagnosis 2,Original NP question,v8–9,y,y
194,"App. 
Glossary of other 
A
available NP data",NPCOTH2,Other contributing pathologic diagnosis 2,Original NP question,v8–9,y,y
196,"App. 
Glossary of other 
A
available NP data",NPPOTH3,Other primary pathologic diagnosis 3,Original NP question,v8–9,y,y
197,"App. 
Glossary of other 
A
available NP data",NPCOTH3,Other contributing pathologic diagnosis 3,Original NP question,v8–9,y,y
202,Form header,PACKET,Packet code,Original UDS question,v1-3,method,method
203,Form header,FORMVER,Form version number,Original UDS question,v1-3,method,method
204,Form header,VISITMO,Form date — month,Original UDS question,v1-3,method,method
205,Form header,VISITDAY,Form date — day,Original UDS question,v1-3,method,method
206,Form header,VISITYR,Form date — year,Original UDS question,v1-3,method,method
207,Form header,NACCVNUM,UDS visit number (order),NACC derived variable,v1-3,method,method
208,Form header,NACCAVST,Total number of all UDS visits made,NACC derived variable,v1-3,method,method
209,Form header,NACCNVST,"Total number of in-person UDS visits 
made",NACC derived variable,v1-3,method,method
210,Form header,NACCDAYS,Days from initial visit to most recent visit,NACC derived variable,v1-3,method,method
211,Form header,NACCFDYS,"Days from initial visit to each follow-up 
visit",NACC derived variable,v1-3,method,method
212,Milestones,NACCDIED,Subject is known to be deceased,NACC derived variable,v1-3,method,method
215,Milestones,NACCACTV,"Follow-up status at the Alzheimer’s 
Disease Center (ADC)",NACC derived variable,v1-3,method,method
216,Milestones,NACCNOVS,"No longer followed annually in person or 
by telephone",NACC derived variable,v1-3,method,method
217,Milestones,NACCDSMO,"Month of discontinuation from annual 
follow-up",NACC derived variable,v1-3,method,method
218,Milestones,NACCDSDY,"Day of discontinuation from annual 
follow-up",NACC derived variable,v1-3,method,method
219,Milestones,NACCDSYR,"Year of discontinuation from annual 
follow-up",NACC derived variable,v1-3,method,method
220,Milestones,NACCNURP,Permanently moved to a nursing home,NACC derived variable,v1-3,method,method
221,Milestones,NACCNRMO,"Month permanently moved to nursing 
home",NACC derived variable,v1-3,method,method
222,Milestones,NACCNRDY,Day permanently moved to nursing home,NACC derived variable,v1-3,method,method
223,Milestones,NACCNRYR,"Year permanently moved to nursing 
home",NACC derived variable,v1-3,method,method
224,Milestones,NACCMDSS,"Subject’s status in the Minimal Data Set 
(MDS) and Uniform Data Set (UDS)",NACC derived variable,v1-3,method,method
225,Milestones,NACCPAFF,Previously affiliated subject,NACC derived variable,v1-3,method,method
226,"A1
Subject Demographics",NACCREAS,Primary reason for coming to ADC,NACC derived variable,v1-3,method,method
227,"A1
Subject Demographics",NACCREFR,Principal referral source,NACC derived variable,v1-3,method,method
228,"A1
Subject Demographics",BIRTHMO,Subject’s month of birth,Original UDS question,v1-3,method,method
229,"A1
Subject Demographics",BIRTHYR,Subject’s year of birth,Original UDS question,v1-3,method,method
230,"A1
Subject Demographics",SEX,Subject’s sex,Original UDS question,v1-3,x,reported
231,"A1
Subject Demographics",HISPANIC,Hispanic/Latino ethnicity,Original UDS question,v1-3,x,reported
233,"A1
Subject Demographics",HISPOR,Hispanic origins,Original UDS question,v1-3,x,reported
235,"A1
Subject Demographics",RACE,Race,Original UDS question,v1-3,x,reported
237,"A1
Subject Demographics",RACESEC,Second race,Original UDS question,v1-3,x,reported
239,"A1
Subject Demographics",RACETER,Third race,Original UDS question,v1-3,x,reported
241,"A1
Subject Demographics",PRIMLANG,Primary language,Original UDS question,v1-3,x,reported
243,"A1
Subject Demographics",EDUC,Years of education,Original UDS question,v1-3,x,reported
244,"A1
Subject Demographics",MARISTAT,Marital status,Original UDS question,v1-3,x,reported
245,"A1
Subject Demographics",NACCLIVS,Living situation,NACC derived variable,v1-3,x,reported
246,"A1
Subject Demographics",INDEPEND,Level of independence,Original UDS question,v1-3,x,reported
